Linux 5.4.0-100-generic (node-0.vhive-test.ut-osa-pg0.wisc.cloudlab.us) 	02/14/2023 	_x86_64_	(40 CPU)

01:30:01 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:32:56 PM 20001     16283   1222.00      0.00 16759480 7819920   3.98  python3
01:32:57 PM 20001     16283   1291.00      0.00 16760504 7861476   4.00  python3
01:32:58 PM 20001     16283   1186.00      0.00 16761784 7902928   4.02  python3
01:32:59 PM 20001     16283   1158.00      0.00 16762808 7945060   4.04  python3
01:33:00 PM 20001     16283   1455.00      0.00 16764088 7986064   4.06  python3
01:33:01 PM 20001     16283   2219.00      0.00 16765112 8025752   4.08  python3
01:33:02 PM 20001     16283   1185.00      0.00 16766136 8068264   4.10  python3
01:33:03 PM 20001     16283   6700.00      0.00 16773068 8114052   4.13  python3
01:33:04 PM 20001     16283   1837.00      0.00 16774092 8153508   4.15  python3
01:33:05 PM 20001     16283   1221.78      0.00 16775372 8194672   4.17  python3
01:33:06 PM 20001     16283   1251.00      0.00 16776396 8236896   4.19  python3
01:33:07 PM 20001     16283   1317.00      0.00 16777676 8278252   4.21  python3
01:33:08 PM 20001     16283   1141.00      0.00 16778700 8318040   4.23  python3
01:33:09 PM 20001     16283   1185.00      0.00 16779724 8360192   4.25  python3
01:33:10 PM 20001     16283   5102.00      0.00 16789496 8408472   4.27  python3
01:33:11 PM 20001     16283   1144.00      0.00 16790520 8447472   4.29  python3
01:33:12 PM 20001     16283   1226.00      0.00 16791800 8487980   4.32  python3
01:33:13 PM 20001     16283   1826.00      0.00 16792824 8529740   4.34  python3
01:33:14 PM 20001     16283   1294.00      0.00 16794104 8571144   4.36  python3
01:33:15 PM 20001     16283   1243.00      0.00 16795128 8610276   4.38  python3
01:33:16 PM 20001     16283   1160.00      0.00 16796152 8652356   4.40  python3
01:33:17 PM 20001     16283   1207.00      0.00 16797432 8692996   4.42  python3
01:33:18 PM 20001     16283   1169.00      0.00 16798456 8732760   4.44  python3
01:33:19 PM 20001     16283   1476.00      0.00 16799736 8773844   4.46  python3
01:33:20 PM 20001     16283   1137.00      0.00 16800760 8815284   4.48  python3
01:33:21 PM 20001     16283   1530.00      0.00 16801784 8855052   4.50  python3
01:33:22 PM 20001     16283   1148.00      0.00 16803064 8896396   4.52  python3
01:33:23 PM 20001     16283   1832.00      0.00 16804088 8935780   4.54  python3
01:33:24 PM 20001     16283   1317.00      0.00 16805368 8976480   4.56  python3
01:33:25 PM 20001     16283   1121.00      0.00 16806392 9015540   4.58  python3
01:33:26 PM 20001     16283   1157.00      0.00 16807416 9057824   4.61  python3
01:33:27 PM 20001     16283   1239.00      0.00 16808696 9095948   4.62  python3
01:33:28 PM 20001     16283   1424.00      0.00 16809720 9137516   4.65  python3
01:33:29 PM 20001     16283   7374.00      0.00 16812064 9178348   4.67  python3
01:33:30 PM 20001     16283   1110.00      0.00 16813088 9217292   4.69  python3
01:33:31 PM 20001     16283   1789.00      0.00 16814112 9258412   4.71  python3
01:33:32 PM 20001     16283   4936.00      0.00 16815392 9296340   4.73  python3
01:33:33 PM 20001     16283   1290.00      0.00 16816416 9337756   4.75  python3
01:33:34 PM 20001     16283   1219.00      0.00 16817696 9377856   4.77  python3
01:33:35 PM 20001     16283   1192.00      0.00 16818720 9415940   4.79  python3
01:33:36 PM 20001     16283   1179.00      0.00 16819744 9457228   4.81  python3
01:33:37 PM 20001     16283   1610.00      0.00 16821024 9497072   4.83  python3
01:33:38 PM 20001     16283   1210.00      0.00 16822048 9537568   4.85  python3
01:33:39 PM 20001     16283   1104.00      0.00 16823328 9575244   4.87  python3
01:33:40 PM 20001     16283   1841.00      0.00 16824352 9616672   4.89  python3
01:33:41 PM 20001     16283   1249.00      0.00 16825632 9656184   4.91  python3
01:33:42 PM 20001     16283   1124.00      0.00 16826656 9696188   4.93  python3
01:33:43 PM 20001     16283   1174.00      0.00 16827680 9736168   4.95  python3
01:33:44 PM 20001     16283   1203.00      0.00 16828960 9773716   4.97  python3
01:33:45 PM 20001     16283   1453.00      0.00 16829984 9814948   4.99  python3
01:33:46 PM 20001     16283   1136.00      0.00 16831264 9854036   5.01  python3
01:33:47 PM 20001     16283   1189.00      0.00 16832288 9892180   5.03  python3
01:33:48 PM 20001     16283   1830.00      0.00 16833568 9931512   5.05  python3
01:33:49 PM 20001     16283   6088.00      0.00 16845340 9969932   5.07  python3
01:33:50 PM 20001     16283   1199.00      0.00 16846620 10011432   5.09  python3
01:33:51 PM 20001     16283   1182.00      0.00 16847644 10049644   5.11  python3
01:33:52 PM 20001     16283   1072.00      0.00 16848668 10090228   5.13  python3
01:33:53 PM 20001     16283   1508.00      0.00 16849948 10129560   5.15  python3
01:33:54 PM 20001     16283  58008.00      0.00 16932892 10244864   5.21  python3
01:33:55 PM 20001     16283   1082.00      0.00 16933916 10283020   5.23  python3
01:33:56 PM 20001     16283   1775.00      0.00 16934940 10322836   5.25  python3
01:33:57 PM 20001     16283   1350.00      0.00 16936220 10361848   5.27  python3
01:33:58 PM 20001     16283   1151.00      0.00 16937244 10399484   5.29  python3
01:33:59 PM 20001     16283   1303.00      0.00 16938524 10440616   5.31  python3
01:34:00 PM 20001     16283   1422.00      0.00 16939548 10478576   5.33  python3
01:34:01 PM 20001     16283   1246.00      0.00 16940828 10517392   5.35  python3
01:34:02 PM 20001     16283   1172.00      0.00 16941852 10557600   5.37  python3
01:34:03 PM 20001     16283   1779.00      0.00 16943132 10596100   5.39  python3
01:34:04 PM 20001     16283   1148.00      0.00 16944156 10633356   5.41  python3
01:34:05 PM 20001     16283   1380.00      0.00 16945436 10674044   5.43  python3
01:34:06 PM 20001     16283   1080.00      0.00 16946460 10713048   5.45  python3
01:34:07 PM 20001     16283   9624.00      0.00 16947740 10759140   5.47  python3
01:34:08 PM 20001     16283   1392.00      0.00 16948764 10797976   5.49  python3
01:34:09 PM 20001     16283   6474.00      0.00 16962140 10846296   5.51  python3
01:34:10 PM 20001     16283   1096.00      0.00 16963164 10885516   5.53  python3
01:34:11 PM 20001     16283   1973.00      0.00 16964444 10921924   5.55  python3
01:34:12 PM 20001     16283 134085.00      0.00 6804892  776252   0.39  python3
01:34:13 PM 20001     16283  12331.00      0.00 6809184  780728   0.40  python3
01:34:14 PM 20001     16283   1063.00      0.00 6810356  781924   0.40  python3
01:34:15 PM 20001     16283    335.00      0.00 6810356  781924   0.40  python3
