Linux 5.4.0-100-generic (node-0.vhive-test.ut-osa-pg0.wisc.cloudlab.us) 	02/14/2023 	_x86_64_	(40 CPU)

03:59:15 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:02:24 PM 20001     18280  13042.00      0.00 32247412 22820196  11.60  python3
04:02:25 PM 20001     18280   9858.00      0.00 32277404 22882168  11.63  python3
04:02:26 PM 20001     18280  11349.00      0.00 32314824 22947928  11.67  python3
04:02:27 PM 20001     18280  11600.00      0.00 32352788 23012932  11.70  python3
04:02:28 PM 20001     18280  11029.00      0.00 32390124 23077184  11.73  python3
04:02:29 PM 20001     18280  11327.00      0.00 32427964 23145216  11.77  python3
04:02:30 PM 20001     18280  11841.00      0.00 32466828 23213752  11.80  python3
04:02:31 PM 20001     18280  12202.00      0.00 32502076 23274316  11.83  python3
04:02:32 PM 20001     18280  13925.00      0.00 32539128 23337104  11.86  python3
04:02:33 PM 20001     18280  15445.00      0.00 32576948 23397200  11.90  python3
04:02:34 PM 20001     18280  15169.00      0.00 32613360 23454644  11.92  python3
04:02:35 PM 20001     18280  15530.00      0.00 32651636 23521692  11.96  python3
04:02:36 PM 20001     18280  13569.00      0.00 32688824 23578720  11.99  python3
04:02:37 PM 20001     18280  14627.00      0.00 32725004 23635040  12.02  python3
04:02:38 PM 20001     18280  16586.00      0.00 32761196 23691212  12.04  python3
04:02:39 PM 20001     18280  17437.00      0.00 32798416 23748788  12.07  python3
04:02:40 PM 20001     18280  14930.00      0.00 32834060 23810128  12.11  python3
04:02:41 PM 20001     18280  14061.00      0.00 32870080 23866456  12.13  python3
04:02:42 PM 20001     18280 252438.00      0.00 32893572 23909220  12.16  python3
04:02:43 PM 20001     18280 381345.00      0.00 32893572 23909220  12.16  python3
04:02:44 PM 20001     18280    684.00      0.00 32895640 23911936  12.16  python3
04:02:45 PM 20001     18280  13454.00      0.00 32933604 23981604  12.19  python3
04:02:46 PM 20001     18280  13121.00      0.00 32969520 24033696  12.22  python3
04:02:47 PM 20001     18280  12690.00      0.00 33005936 24095448  12.25  python3
04:02:48 PM 20001     18280  13203.00      0.00 33043776 24155996  12.28  python3
04:02:49 PM 20001     18280  12692.00      0.00 33080700 24217008  12.31  python3
04:02:50 PM 20001     18280  12323.00      0.00 33117756 24272276  12.34  python3
04:02:51 PM 20001     18280  12633.00      0.00 33157076 24334768  12.37  python3
04:02:52 PM 20001     18280  11886.00      0.00 33193180 24394132  12.40  python3
04:02:53 PM 20001     18280  12547.00      0.00 33230632 24453556  12.43  python3
04:02:54 PM 20001     18280  11987.00      0.00 33267920 24513248  12.46  python3
04:02:55 PM 20001     18280  11377.00      0.00 33304344 24568616  12.49  python3
04:02:56 PM 20001     18280  11930.00      0.00 33341564 24624244  12.52  python3
04:02:57 PM 20001     18280  12047.00      0.00 33377600 24681592  12.55  python3
04:02:58 PM 20001     18280  11646.00      0.00 33414800 24741928  12.58  python3
04:02:59 PM 20001     18280  11548.00      0.00 33450584 24801972  12.61  python3
04:03:00 PM 20001     18280  11803.00      0.00 33488024 24864848  12.64  python3
04:03:01 PM 20001     18280  11431.00      0.00 33525468 24921008  12.67  python3
04:03:02 PM 20001     18280  14271.00      0.00 33562652 24975936  12.70  python3
04:03:03 PM 20001     18280  13315.00      0.00 33599068 25040356  12.73  python3
04:03:04 PM 20001     18280  14678.00      0.00 33636128 25100276  12.76  python3
04:03:05 PM 20001     18280  16891.00      0.00 33682672 25170224  12.80  python3
04:03:06 PM 20001     18280  16804.00      0.00 33711900 25218004  12.82  python3
04:03:07 PM 20001     18280  17753.00      0.00 33746748 25272328  12.85  python3
04:03:08 PM 20001     18280  18520.00      0.00 33783404 25332732  12.88  python3
04:03:09 PM 20001     18280  17779.00      0.00 33821344 25394052  12.91  python3
04:03:10 PM 20001     18280  17619.00      0.00 33857624 25451776  12.94  python3
04:03:11 PM 20001     18280  21057.00      0.00 33891704 25504920  12.97  python3
04:03:12 PM 20001     18280  20079.00      0.00 33928644 25564192  13.00  python3
04:03:13 PM 20001     18280  21721.00      0.00 33964820 25619808  13.03  python3
04:03:14 PM 20001     18280  17558.00      0.00 33999944 25671468  13.05  python3
04:03:15 PM 20001     18280  18690.00      0.00 34036208 25726380  13.08  python3
04:03:16 PM 20001     18280 620233.00      0.00 34037884 25728652  13.08  python3
04:03:17 PM 20001     18280 137630.00      0.00 34037884 25728652  13.08  python3
04:03:18 PM 20001     18280   1510.00      0.00 34041628 25734352  13.08  python3
04:03:19 PM 20001     18280  15012.00      0.00 34078820 25797100  13.12  python3
04:03:20 PM 20001     18280  13912.00      0.00 34113540 25851148  13.14  python3
04:03:21 PM 20001     18280  23947.00      0.00 34188416 25945108  13.19  python3
04:03:22 PM 20001     18280  12320.00      0.00 34218368 25995536  13.22  python3
04:03:23 PM 20001     18280  12273.00      0.00 34247296 26043924  13.24  python3
04:03:24 PM 20001     18280  13385.00      0.00 34279128 26098064  13.27  python3
04:03:25 PM 20001     18280   7800.00      0.00 34289704 15595188   7.93  python3
04:03:26 PM 20001     18280    598.00      0.00 34289704 16654004   8.47  python3
