Linux 5.4.0-100-generic (node-0.vhive-test.ut-osa-pg0.wisc.cloudlab.us) 	02/15/2023 	_x86_64_	(40 CPU)

12:14:36 AM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:17:20 AM 20001     22776    522.00      0.00 31588212 19936080  10.14  python3
12:17:21 AM 20001     22776    737.00      0.00 31588212 20994896  10.67  python3
12:17:22 AM 20001     22776   5712.00      0.00 31592480 21603404  10.98  python3
12:17:23 AM 20001     22776  16777.00      0.00 31630320 21691448  11.03  python3
12:17:24 AM 20001     22776  17842.00      0.00 31682472 21783016  11.07  python3
12:17:25 AM 20001     22776  13254.00      0.00 31717348 21860520  11.11  python3
12:17:26 AM 20001     22776  13309.00      0.00 31755556 21938088  11.15  python3
12:17:27 AM 20001     22776  13007.00      0.00 31793140 22012620  11.19  python3
12:17:28 AM 20001     22776 283409.00      0.00 31814476 22056320  11.21  python3
12:17:29 AM 20001     22776 215277.23      0.00 31814476 22056320  11.21  python3
12:17:30 AM 20001     22776   7219.00      0.00 31835936 22095132  11.23  python3
12:17:31 AM 20001     22776  13877.00      0.00 31880800 22170340  11.27  python3
12:17:32 AM 20001     22776  10367.00      0.00 31911348 22235336  11.30  python3
12:17:33 AM 20001     22776  11902.00      0.00 31947272 22305152  11.34  python3
12:17:34 AM 20001     22776  11483.00      0.00 31983920 22373984  11.38  python3
12:17:35 AM 20001     22776  11563.00      0.00 32020480 22440880  11.41  python3
12:17:36 AM 20001     22776  10807.00      0.00 32054820 22503672  11.44  python3
12:17:37 AM 20001     22776  11431.00      0.00 32091504 22569148  11.47  python3
12:17:38 AM 20001     22776  13494.00      0.00 32127944 22633752  11.51  python3
12:17:39 AM 20001     22776  14718.00      0.00 32164492 22699824  11.54  python3
12:17:40 AM 20001     22776  14510.00      0.00 32200424 22760416  11.57  python3
12:17:41 AM 20001     22776  16117.00      0.00 32243128 22826712  11.61  python3
12:17:42 AM 20001     22776  13742.00      0.00 32273012 22885064  11.63  python3
12:17:43 AM 20001     22776  14397.00      0.00 32307368 22938384  11.66  python3
12:17:44 AM 20001     22776  12418.00      0.00 32341868 22995080  11.69  python3
12:17:45 AM 20001     22776  17372.00      0.00 32378300 23053664  11.72  python3
12:17:46 AM 20001     22776  16398.00      0.00 32414436 23116420  11.75  python3
12:17:47 AM 20001     22776  12871.00      0.00 32448816 23169676  11.78  python3
12:17:48 AM 20001     22776  14072.00      0.00 32485236 23233036  11.81  python3
12:17:49 AM 20001     22776  13200.00      0.00 32522184 23290928  11.84  python3
12:17:50 AM 20001     22776  12550.00      0.00 32556268 23349852  11.87  python3
12:17:51 AM 20001     22776  12359.00      0.00 32591924 23409672  11.90  python3
12:17:52 AM 20001     22776  13556.00      0.00 32629104 23465936  11.93  python3
12:17:53 AM 20001     22776  15631.00      0.00 32669824 23529736  11.96  python3
12:17:54 AM 20001     22776  11546.00      0.00 32701376 23582184  11.99  python3
12:17:55 AM 20001     22776 501865.00      0.00 32704728 23588008  11.99  python3
12:17:56 AM 20001     22776  64795.00      0.00 32704728 23588008  11.99  python3
12:17:57 AM 20001     22776   8319.00      0.00 32730288 23626112  12.01  python3
12:17:58 AM 20001     22776  11780.00      0.00 32767104 23682484  12.04  python3
12:17:59 AM 20001     22776  11644.00      0.00 32804052 23739740  12.07  python3
12:18:00 AM 20001     22776  11316.00      0.00 32839952 23793228  12.10  python3
12:18:01 AM 20001     22776  11591.00      0.00 32876104 23849636  12.13  python3
12:18:02 AM 20001     22776  11351.00      0.00 32912112 23908600  12.16  python3
12:18:03 AM 20001     22776  11193.00      0.00 32948660 23965052  12.18  python3
12:18:04 AM 20001     22776  10751.00      0.00 32984436 24019428  12.21  python3
12:18:05 AM 20001     22776  11221.00      0.00 33020212 24075548  12.24  python3
